"Date","Open","High","Low","Close"
"Apr 26, 2017","$1,275.92","$1,278.22","$1,262.37","$1,263.70"
"Apr 25, 2017","$1,269.89","$1,277.27","$1,267.04","$1,275.95"
"Apr 21, 2017","$1,281.33","$1,288.07","$1,278.70","$1,284.55"
"Apr 20, 2017","$1,279.26","$1,283.50","$1,277.02","$1,281.40"
"Apr 19, 2017","$1,289.30","$1,289.97","$1,275.90","$1,278.77"
"Apr 18, 2017","$1,284.18","$1,292.33","$1,279.66","$1,289.08"
"Apr 17, 2017","$1,293.86","$1,295.52","$1,281.56","$1,284.20"
"Apr 14, 2017","$1,286.20","$1,288.50","$1,286.20","$1,287.43"
"Apr 13, 2017","$1,285.93","$1,288.61","$1,282.10","$1,287.43"
"Apr 12, 2017","$1,255.93","$1,275.18","$1,253.53","$1,274.70"
"Apr 11, 2017","$1,254.18","$1,257.05","$1,247.24","$1,255.92"
"Apr 07, 2017","$1,256.70","$1,259.00","$1,250.11","$1,251.67"
"Apr 06, 2017","$1,255.64","$1,257.13","$1,244.33","$1,256.25"
"Apr 05, 2017","$1,254.70","$1,261.13","$1,253.70","$1,255.71"
"Apr 04, 2017","$1,249.61","$1,255.26","$1,244.65","$1,254.59"
"Mar 31, 2017","$1,252.93","$1,256.20","$1,242.81","$1,243.56"
"Mar 30, 2017","$1,251.07","$1,254.67","$1,247.70","$1,253.22"
"Mar 28, 2017","$1,253.55","$1,258.26","$1,248.26","$1,251.05"
"Mar 27, 2017","$1,252.51","$1,260.99","$1,251.67","$1,254.15"
"Mar 24, 2017","$1,245.03","$1,251.76","$1,241.05","$1,245.02"
"Mar 23, 2017","$1,247.63","$1,252.95","$1,243.03","$1,244.86"
"Mar 22, 2017","$1,245.41","$1,251.32","$1,244.20","$1,247.35"
"Mar 21, 2017","$1,234.51","$1,247.50","$1,227.08","$1,245.70"
"Mar 20, 2017","$1,230.78","$1,235.54","$1,229.51","$1,234.52"
"Mar 17, 2017","$1,219.17","$1,233.11","$1,218.82","$1,226.48"
"Mar 16, 2017","$1,199.40","$1,221.80","$1,197.97","$1,218.96"
"Mar 15, 2017","$1,202.13","$1,207.48","$1,197.50","$1,199.20"
"Mar 14, 2017","$1,206.23","$1,211.17","$1,202.05","$1,202.29"
"Mar 10, 2017","$1,208.10","$1,209.04","$1,198.96","$1,200.04"
"Mar 09, 2017","$1,216.12","$1,218.61","$1,205.10","$1,208.50"
"Mar 08, 2017","$1,225.94","$1,226.91","$1,212.90","$1,216.26"
"Mar 07, 2017","$1,236.59","$1,236.59","$1,225.10","$1,225.99"
"Mar 03, 2017","$1,234.84","$1,235.93","$1,223.40","$1,234.65"
"Mar 02, 2017","$1,247.31","$1,247.99","$1,231.31","$1,235.22"
"Mar 01, 2017","$1,245.99","$1,250.47","$1,237.22","$1,247.25"
"Feb 28, 2017","$1,253.05","$1,258.27","$1,245.93","$1,246.19"
"Feb 27, 2017","$1,256.00","$1,263.73","$1,247.10","$1,253.54"
"Feb 24, 2017","$1,249.12","$1,260.18","$1,248.13","$1,257.08"
"Feb 23, 2017","$1,237.29","$1,250.95","$1,235.97","$1,249.37"
"Feb 22, 2017","$1,236.91","$1,238.93","$1,226.52","$1,235.03"
"Feb 21, 2017","$1,236.29","$1,238.84","$1,232.88","$1,237.13"
"Feb 17, 2017","$1,233.36","$1,242.38","$1,232.30","$1,238.78"
"Feb 16, 2017","$1,227.80","$1,234.08","$1,215.60","$1,233.22"
"Feb 15, 2017","$1,226.63","$1,234.38","$1,222.10","$1,228.52"
"Feb 14, 2017","$1,230.10","$1,232.25","$1,219.90","$1,226.03"
"Feb 10, 2017","$1,240.45","$1,244.14","$1,225.36","$1,227.28"
"Feb 09, 2017","$1,231.30","$1,244.69","$1,230.30","$1,240.25"
"Feb 08, 2017","$1,233.89","$1,235.70","$1,227.84","$1,232.33"
"Feb 07, 2017","$1,220.47","$1,235.69","$1,220.38","$1,233.58"
"Feb 03, 2017","$1,210.30","$1,225.35","$1,210.14","$1,214.93"
"Feb 02, 2017","$1,211.52","$1,212.32","$1,198.49","$1,209.71"
"Jan 31, 2017","$1,197.00","$1,215.20","$1,196.29","$1,211.95"
"Jan 30, 2017","$1,194.62","$1,199.40","$1,188.39","$1,197.11"
"Jan 27, 2017","$1,201.88","$1,202.50","$1,184.61","$1,188.29"
"Jan 26, 2017","$1,208.67","$1,209.79","$1,193.73","$1,200.91"
"Jan 25, 2017","$1,217.22","$1,218.56","$1,206.90","$1,209.49"
"Jan 24, 2017","$1,215.11","$1,219.69","$1,209.60","$1,217.50"
"Jan 20, 2017","$1,204.10","$1,206.47","$1,195.98","$1,203.45"
"Jan 19, 2017","$1,215.46","$1,217.40","$1,202.14","$1,202.61"
"Jan 18, 2017","$1,204.25","$1,218.79","$1,203.63","$1,215.41"
"Jan 17, 2017","$1,203.14","$1,207.64","$1,200.45","$1,203.60"
"Jan 13, 2017","$1,193.30","$1,206.65","$1,193.21","$1,196.09"
"Jan 12, 2017","$1,187.27","$1,198.04","$1,177.59","$1,193.22"
"Jan 11, 2017","$1,183.32","$1,190.34","$1,180.36","$1,186.14"
"Jan 10, 2017","$1,174.22","$1,185.83","$1,172.87","$1,182.84"
"Jan 06, 2017","$1,180.40","$1,181.11","$1,169.60","$1,172.61"
"Jan 05, 2017","$1,166.21","$1,184.35","$1,166.21","$1,181.03"
"Jan 04, 2017","$1,150.51","$1,163.40","$1,146.33","$1,157.26"
